id,question,cypher_query,sql_query_2,sql_query_3
1,Dorea，Eubacterium，Bacteroides中哪些微生物群对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Dorea"",""Eubacterium"",""Bacteroides""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmmgr where hecrbm.`index` = gmmgr.`index` and hecrbm.relationship in ('Dorea','Eubacterium', 'Bacteroides')","SELECT ""gene_symbol"", ""pathway"" FROM ""kegg"" WHERE ""gene_symbol"" IN ('BCL2', 'BAX', 'CASP3', 'Prkaa2', 'Prkaa1', 'Gcg', 'Nr1h4', 'Fgf15', 'Fgfr4', 'Cyp7a1', 'Sirpa', 'Cpt1b', 'Fas')"
2,Clostridium，Lactobacillus，Oscillibacter中哪些微生物群对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Clostridium"",""Lactobacillus"",""Oscillibacter""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmmgr where hecrbm.`index` = gmmgr.`index` and hecrbm.relationship in ('Clostridium','Lactobacillus','Oscillibacter')","SELECT ""gene_symbol"", ""pathway"" FROM ""kegg"" WHERE ""gene_symbol"" IN ('IL22','MAPK14 ',Prkaa2', 'Prkaa1', 'Gcg', 'Tjp1', 'Il6', 'Tnf', 'Il1b', 'Nos2', 'Chrm2', 'Tlr2', 'Arg1', 'Srebf1', 'Fas', 'Srebf2', 'Hmgcr')"
3,Desulfovibrionaceae是否对生猪饲养效率是显著相关的？它受哪些基因的调控？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Desulfovibrionaceae""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results  gmmgr where hecrbm.`index` = gmmgr.`index` and hecrbm.relationship in ('Desulfovibrionaceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('Ahr')"
4,（families）Prevotellaceae，Lachnospiraceae中哪些微生物群对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Prevotellaceae"",""Lachnospiraceae""] return s","Select Distinct gene_symbol,relationship from relationship.has_expression_change_results_by_microbiota hecrbm join newgutmgene.gut_microbiota_gene_change_results gmgcr where hecrbm.`index` = gmgcr.`index` and hecrbm.relationship in ('Prevotellaceae','Lachnospiraceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('EGFR')"
5,（genera）Eubacterium，Lachnospiraceae，Treponema bryantii中哪些微生物群对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Eubacterium"",""Lachnospiraceae"",""Treponema bryantii""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmmgr where hecrbm.`index` = gmmgr.`index` and hecrbm.relationship in ('Eubacterium','Lachnospiraceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('EGFR','BCL2','BAX','CASP3','Prkaa2','Prkaa1')"
6,Bacteroides是否对生猪饲养效率是显著相关的？它受哪些基因的调控？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Bacteroides"",""Ruminococcaceae"",""Methanobrevibacter""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmmgr where hecrbm.`index` = gmmgr.`index` and hecrbm.relationship in ('Bacteroides')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BCL2','BAX','CASP3','Gcg','Nr1h4','Fgf15','Fgfr4','Cyp7a1','Sirpa','Cpt1b','Fas')"
7,（genera）Clostridium，Treponema中哪些微生物群对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Clostridium"",""Treponema""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmmgr where hecrbm.`index` = gmmgr.`index` and hecrbm.relationship in ('Clostridium')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('Prkaa2','Prkaa1','Gcg','Il6','Tnf','Il1b','Nos2','Chrm2','Tlr2','Srebf1','Fas','Srebf2','Hmgcr')"
8,（genera）Lactobacillus，Treponema bryantii中哪些微生物群对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Lactobacillus"",""Lactobacillaceae"",""Treponema bryantii""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmmgr where hecrbm.`index` = gmmgr.`index` and hecrbm.relationship in ('Lactobacillus')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('IL22','MAPK14','Tjp1','Arg1')"
9,Desulfovibrionaceae中哪些微生物群对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？,"match (s:MicrobiotaName)-[r:significantly_associated]->(o:FE{name:""FE""}) where s.name in [""Desulfovibrionaceae""] return s","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmmgr where hecrbm.`index` = gmmgr.`index` and hecrbm.relationship in ('Desulfovibrionaceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('Ahr')"
10,生猪饲养效率的提高会导致哪些微生物群的数量增加？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？,"match (s:FE{name:""FE""})-[r:increase]->(o:MicrobiotaName) return o","Select Distinct gene_symbol,relationship from has_expression_change_results_by_microbiota hecrbm join gutmgene.gut_microbiota_gene_change_results gmmgr where hecrbm.`index` = gmmgr.`index` and hecrbm.relationship in ('Cellulosilyticum','Leeia','Subdoligranulum','Rothia','Methanobrevibacter','Bacteroides','Lactobacillus','Oscillibacter','Ruminococcaceae')","select ""gene_symbol"",""pathway"" from ""kegg"" where ""gene_symbol"" in ('BCL2','MAPK14','BAX','CASP3','IL22','Gcg','Tjp1','Nr1h4','Fgf15','Fgfr4','Cyp7a1','Sirpa','Cpt1b','Fas','Arg1')"
