id,question
1,Dorea，Eubacterium，Bacteroides中哪些微生物群对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？
2,Clostridium，Lactobacillus，Oscillibacter中哪些微生物群对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？
3,Desulfovibrionaceae是否对生猪饲养效率是显著相关的？它受哪些基因的调控？这些基因的代谢通路有哪些？
4,（families）Prevotellaceae，Lachnospiraceae中哪些微生物群对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？
5,（genera）Eubacterium，Lachnospiraceae，Treponema bryantii中哪些微生物群对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？
6,Bacteroides是否对生猪饲养效率是显著相关的？它受哪些基因的调控？这些基因的代谢通路有哪些？
7,（genera）Clostridium，Treponema中哪些微生物群对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？
8,（genera）Lactobacillus，Treponema bryantii中哪些微生物群对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？
9,Desulfovibrionaceae中哪些微生物群对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？
10,生猪饲养效率的提高会导致哪些微生物群的数量增加？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？
11,哪些微生物群与生猪饲养效率显著相关？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？
12,"哪些微生物群关联于生猪饲养效率，在""Fattening, Unmedicated feed formula / Antibiotics and zinc oxide""条件下的Pvalue在0.2与0.21之间？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？"
13,"哪些微生物群关联于生猪饲养效率，在""Fresh / Fresh+enzyme""条件下Pvalue=0.19？这些微生物受哪些基因的调控？这些基因的代谢通路有哪些？"
14,（genera）Dorea，Eubacterium，Bacteroides中哪些微生物群对生猪饲养效率是显著相关的？哪些基因的表达能够增加这些微生物群的数量？这些基因的代谢通路有哪些？
15,（genera）Eubacterium，Treponema bryantii中哪些微生物群对生猪饲养效率是显著相关的？哪些基因的表达能够增加这些微生物群的数量？这些基因的代谢通路有哪些？
16,（genera）Bacteroides，Ruminococcaceae中哪些微生物群对生猪饲养效率是显著相关的？哪些基因的表达能够增加这些微生物群的数量？这些基因的代谢通路有哪些？
17,Clostridium中哪些微生物群对生猪饲养效率是显著相关的？哪些基因的表达能够增加这些微生物群的数量？这些基因的代谢通路有哪些？
18,Lactobacillus是否对生猪饲养效率是显著相关的？哪些基因的表达能够增加它的数量？这些基因的代谢通路有哪些？
19,Desulfovibrionaceae是否对生猪饲养效率是显著相关的？哪些基因的表达能够增加它的数量？这些基因的代谢通路有哪些？
20,生猪饲养效率的提高会导致哪些微生物群的数量增加？哪些基因的表达能够增加这些微生物群的数量？这些基因的代谢通路有哪些？
21,哪些微生物群与生猪饲养效率显著相关？哪些基因的表达能够增加这些微生物群的数量？这些基因的代谢通路有哪些？
22,"哪些微生物群关联于生猪饲养效率，在""Fattening, Unmedicated feed formula / Antibiotics and zinc oxide""条件下Pvalue在0.2与0.21之间？哪些基因的表达能够增加这些微生物群的数量？这些基因的代谢通路有哪些？"
23,"哪些微生物群关联于生猪饲养效率，在""Fresh / Fresh+enzyme""条件下Pvalue=0.19？哪些基因的表达能够增加这些微生物群的数量？这些基因的代谢通路有哪些？"
24,哪些微生物群关联于生猪饲养效率且Pvalue在0.28与0.288之间？哪些基因的表达能够增加这些微生物群的数量？这些基因的代谢通路有哪些？
25,（genera）Dorea，Eubacterium，Bacteroides中哪些微生物群对生猪饲养效率是显著相关的？哪些基因的表达能够减少这些微生物群的数量？这些基因的代谢通路有哪些？
26,（genera）Clostridium，Lactobacillus，Oscillibacter中哪些微生物群对生猪饲养效率是显著相关的？哪些基因的表达能够减少这些微生物群的数量？这些基因的代谢通路有哪些？
27,（families）Prevotellaceae，Ruminococcaceae，Lachnospiraceae中哪些微生物群对生猪饲养效率是显著相关的？哪些基因的表达能够减少这些微生物群的数量？这些基因的代谢通路有哪些？
28,Eubacterium是否对生猪饲养效率是显著相关的？哪些基因的表达能够减少这些微生物群的数量？这些基因的代谢通路有哪些？
29,Bacteroides中哪些微生物群对生猪饲养效率是显著相关的？哪些基因的表达能够减少这些微生物群的数量？这些基因的代谢通路有哪些？
30,Clostridium中哪些微生物群对生猪饲养效率是显著相关的？哪些基因的表达能够减少这些微生物群的数量？这些基因的代谢通路有哪些？
31,生猪饲养效率的提高会导致哪些微生物群的数量增加？哪些基因的表达能够减少这些微生物群的数量？这些基因的代谢通路有哪些？
32,哪些微生物群与生猪饲养效率显著相关？哪些基因的表达能够减少这些微生物群的数量？这些基因的代谢通路有哪些？
33,"哪些微生物群关联于生猪饲养效率，在""Fattening, Unmedicated feed formula / Antibiotics and zinc oxide""条件下Pvalue在0.2与0.21之间？哪些基因的表达能够减少这些微生物群的数量？这些基因的代谢通路有哪些？"
34,哪些微生物群关联于生猪饲养效率且Pvalue在0.28与0.288之间？哪些基因的表达能够减少这些微生物群的数量？这些基因的代谢通路有哪些？
35,（genera）Dorea，Eubacterium，Bacteroides中哪些微生物群对生猪饲养效率是显著相关的？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？
36,(genera)Clostridium，Lactobacillus，Oscillibacter中哪些微生物群对生猪饲养效率是显著相关的？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？
37,Desulfovibrionaceae是否对生猪饲养效率是显著相关的？它产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？
38,(genera)Prevotellaceae，Ruminococcaceae，Lachnospiraceae中哪些微生物群对生猪饲养效率是显著相关的？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？
39,Eubacterium，Treponema bryantii中哪些微生物群对生猪饲养效率是显著相关的？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？
40,Bacteroides是否对生猪饲养效率是显著相关的？它产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？
41,(genera) Clostridium，Treponema中哪些微生物群对生猪饲养效率是显著相关的？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？
42,Lactobacillus，Treponema bryantii中哪些微生物群对生猪饲养效率是显著相关的？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？
43,Desulfovibrionaceae是否对生猪饲养效率是显著相关的？它产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？
44,生猪饲养效率的提高会导致哪些微生物群的数量增加？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？
45,哪些微生物群与生猪饲养效率显著相关？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？
46,"哪些微生物群关联于生猪饲养效率，在""Fattening, Unmedicated feed formula / Antibiotics and zinc oxide""条件下Pvalue在0.2与0.21之间？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？"
47,"哪些微生物群关联于生猪饲养效率，在""Fresh / Fresh+enzyme""条件下Pvalue=0.19？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？"
48,哪些微生物群关联于生猪饲养效率且Pvalue在0.28与0.288之间？这些微生物产生的代谢物和哪些基因的表达量有关？这些基因的代谢通路有哪些？
49,"(genera)Dorea，Eubacterium，Bacteroides中哪些微生物群对生猪饲养效率是显著相关的？这些微生物受哪些基因的调控？hsa04060 Cytokine-cytokine receptor interaction，hsa04061 Viral protein interaction with cytokine and cytokine receptor，hsa04062 Chemokine signaling pathway，hsa01521 EGFR tyrosine kinase inhibitor resistance,mmu01521 EGFR tyrosine kinase inhibitor resistance，hsa04066 HIF-1 signaling pathway,hsa01524 Platinum drug resistance，mmu04152 AMPK signaling pathway,mmu04010 MAPK signaling pathway，mmu00220 Arginine biosynthesis，hsa04659 Th17 cell differentiation,mmu04714 Thermogenesis中哪些在这些基因的代谢通路里？"
