question_id,question,repair_count,execution_success,first_execution_success,total_time,subqueries_count,successful_subqueries,failed_subqueries,tokens_used,error_message
83,查询ID为1146的作者所著的前10篇论文的标题和提交的会议ID,0,True,True,35.64783310890198,3,3,0,1377,
15,找出Avniel所撰写的所有论文，并获取这些论文的详细评审意见。,0,True,True,44.23395800590515,2,2,0,1342,
4,查找所有在‘ZSWC 2014 Program Committee’委员会中的成员，获取他们的邮箱地址。,0,True,True,18.074208974838257,2,2,0,892,
96,查询ID为1658的作者所著的前10篇论文的标题和提交的会议ID,0,True,True,37.11889624595642,3,3,0,1393,
36,找出Gerharde所撰写的所有论文，并获取这些论文的详细评审意见。,0,True,True,24.41721510887146,2,2,0,1068,
83,查询ID为1146的作者所著的前10篇论文的标题和提交的会议ID,1,True,True,44.14919185638428,3,3,0,1537,
15,找出Avniel所撰写的所有论文，并获取这些论文的详细评审意见。,1,True,True,36.17932319641113,2,2,0,1231,
4,查找所有在‘ZSWC 2014 Program Committee’委员会中的成员，获取他们的邮箱地址。,1,True,True,19.717002868652344,2,2,0,905,
96,查询ID为1658的作者所著的前10篇论文的标题和提交的会议ID,1,True,True,38.75222396850586,3,3,0,1450,
36,找出Gerharde所撰写的所有论文，并获取这些论文的详细评审意见。,1,True,True,34.93727898597717,2,2,0,1200,
83,查询ID为1146的作者所著的前10篇论文的标题和提交的会议ID,2,True,True,37.093456745147705,3,3,0,1404,
15,找出Avniel所撰写的所有论文，并获取这些论文的详细评审意见。,2,True,True,27.191884994506836,2,2,0,1056,
4,查找所有在‘ZSWC 2014 Program Committee’委员会中的成员，获取他们的邮箱地址。,2,True,True,25.2502179145813,3,3,0,1274,
96,查询ID为1658的作者所著的前10篇论文的标题和提交的会议ID,2,True,True,33.6255362033844,3,3,0,1362,
36,找出Gerharde所撰写的所有论文，并获取这些论文的详细评审意见。,2,True,True,22.357871055603027,2,2,0,973,
83,查询ID为1146的作者所著的前10篇论文的标题和提交的会议ID,3,True,True,37.647047996520996,3,3,0,1396,
15,找出Avniel所撰写的所有论文，并获取这些论文的详细评审意见。,3,True,True,20.176539182662964,2,2,0,929,
4,查找所有在‘ZSWC 2014 Program Committee’委员会中的成员，获取他们的邮箱地址。,3,True,True,19.53863501548767,2,2,0,938,
96,查询ID为1658的作者所著的前10篇论文的标题和提交的会议ID,3,True,True,41.63434290885925,3,3,0,1510,
36,找出Gerharde所撰写的所有论文，并获取这些论文的详细评审意见。,3,True,True,22.45303988456726,2,2,0,979,
83,查询ID为1146的作者所著的前10篇论文的标题和提交的会议ID,4,True,True,32.430989027023315,3,3,0,1341,
15,找出Avniel所撰写的所有论文，并获取这些论文的详细评审意见。,4,True,True,19.724357843399048,2,2,0,937,
4,查找所有在‘ZSWC 2014 Program Committee’委员会中的成员，获取他们的邮箱地址。,4,True,True,20.991759061813354,2,2,0,884,
96,查询ID为1658的作者所著的前10篇论文的标题和提交的会议ID,4,True,True,35.77309608459473,3,3,0,1373,
36,找出Gerharde所撰写的所有论文，并获取这些论文的详细评审意见。,4,True,True,30.29949116706848,2,2,0,1166,
